typeName,time,materialtypeID,groupID,typeName,quantity
"Explosive Plating II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Explosive Plating II",2340,11542,334,"Fernite Carbide Composite Armor Plate",3
"Explosive Plating II",2340,11543,334,"Tungsten Carbide Armor Plate",3
"Layered Plating II",2340,11399,18,Morphite,2
"Layered Plating II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Layered Plating II",2340,11543,334,"Tungsten Carbide Armor Plate",3
"Layered Plating II",2340,11544,334,"Titanium Diborite Armor Plate",3
"Kinetic Plating II",2340,11399,18,Morphite,2
"Kinetic Plating II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Kinetic Plating II",2340,11542,334,"Fernite Carbide Composite Armor Plate",2
"Kinetic Plating II",2340,11544,334,"Titanium Diborite Armor Plate",3
"Kinetic Plating II",2340,11545,334,"Crystalline Carbonide Armor Plate",2
"Thermic Plating II",2340,11399,18,Morphite,2
"Thermic Plating II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Thermic Plating II",2340,11542,334,"Fernite Carbide Composite Armor Plate",3
"Thermic Plating II",2340,11545,334,"Crystalline Carbonide Armor Plate",3
"Adaptive Nano Plating II",2340,11399,18,Morphite,2
"Adaptive Nano Plating II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Adaptive Nano Plating II",2340,11542,334,"Fernite Carbide Composite Armor Plate",2
"Adaptive Nano Plating II",2340,11543,334,"Tungsten Carbide Armor Plate",2
"Adaptive Nano Plating II",2340,11544,334,"Titanium Diborite Armor Plate",2
"Adaptive Nano Plating II",2340,11545,334,"Crystalline Carbonide Armor Plate",2
"Expanded Cargohold II",2340,3828,1034,"Construction Blocks",8
"Expanded Cargohold II",2340,11399,18,Morphite,2
"Expanded Cargohold II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Expanded Cargohold II",2340,11538,334,"Nanomechanical Microprocessor",2
"Expanded Cargohold II",2340,11545,334,"Crystalline Carbonide Armor Plate",2
"Reinforced Bulkheads II",2340,3828,1034,"Construction Blocks",8
"Reinforced Bulkheads II",2340,11399,18,Morphite,2
"Reinforced Bulkheads II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Reactor Control Unit II",2340,38,18,Nocxium,2
"Reactor Control Unit II",2340,40,18,Megacyte,1
"Reactor Control Unit II",2340,9838,1034,Superconductors,3
"Reactor Control Unit II",2340,11399,18,Morphite,2
"Reactor Control Unit II",2340,11482,332,"R.A.M.- Energy Tech",2
"Reactor Control Unit II",2340,11539,334,"Nanoelectrical Microprocessor",5
"Reactor Control Unit II",2340,11554,334,"Tesseract Capacitor Unit",3
"Inertia Stabilizers II",2340,3689,1034,"Mechanical Parts",3
"Inertia Stabilizers II",2340,11399,18,Morphite,2
"Inertia Stabilizers II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Inertia Stabilizers II",2340,11530,334,"Plasma Thruster",3
"Shield Power Relay II",2340,9838,1034,Superconductors,8
"Shield Power Relay II",2340,11399,18,Morphite,2
"Shield Power Relay II",2340,11482,332,"R.A.M.- Energy Tech",2
"Shield Power Relay II",2340,11539,334,"Nanoelectrical Microprocessor",2
"Shield Power Relay II",2340,11554,334,"Tesseract Capacitor Unit",2
"Auto Targeting System II",7020,9840,1034,Transmitter,3
"Auto Targeting System II",7020,9842,1034,"Miniature Electronics",8
"Auto Targeting System II",7020,11399,18,Morphite,3
"Auto Targeting System II",7020,11483,332,"R.A.M.- Electronics",2
"Auto Targeting System II",7020,11536,334,"Ladar Sensor Cluster",3
"Auto Targeting System II",7020,11540,334,"Quantum Microprocessor",2
"Auto Targeting System II",7020,11551,334,"Electrolytic Capacitor Unit",2
"Capacitor Power Relay II",2340,9838,1034,Superconductors,8
"Capacitor Power Relay II",2340,11399,18,Morphite,2
"Capacitor Power Relay II",2340,11482,332,"R.A.M.- Energy Tech",2
"Capacitor Power Relay II",2340,11539,334,"Nanoelectrical Microprocessor",2
"Capacitor Power Relay II",2340,11554,334,"Tesseract Capacitor Unit",2
"Power Diagnostic System II",2340,9838,1034,Superconductors,2
"Power Diagnostic System II",2340,11399,18,Morphite,2
"Power Diagnostic System II",2340,11482,332,"R.A.M.- Energy Tech",2
"Power Diagnostic System II",2340,11539,334,"Nanoelectrical Microprocessor",8
"Power Diagnostic System II",2340,11554,334,"Tesseract Capacitor Unit",2
"Small Proton Smartbomb II",2340,11399,18,Morphite,3
"Small Proton Smartbomb II",2340,11482,332,"R.A.M.- Energy Tech",2
"Small Proton Smartbomb II",2340,11692,334,"Nuclear Pulse Generator",6
"Small Graviton Smartbomb II",2340,39,18,Zydrine,4
"Small Graviton Smartbomb II",2340,11399,18,Morphite,3
"Small Graviton Smartbomb II",2340,11482,332,"R.A.M.- Energy Tech",2
"Small Graviton Smartbomb II",2340,11693,334,"Graviton Pulse Generator",6
"Small Plasma Smartbomb II",2340,39,18,Zydrine,4
"Small Plasma Smartbomb II",2340,11399,18,Morphite,3
"Small Plasma Smartbomb II",2340,11482,332,"R.A.M.- Energy Tech",2
"Small Plasma Smartbomb II",2340,11695,334,"Plasma Pulse Generator",6
"Small EMP Smartbomb II",2340,38,18,Nocxium,6
"Small EMP Smartbomb II",2340,11399,18,Morphite,3
"Small EMP Smartbomb II",2340,11482,332,"R.A.M.- Energy Tech",2
"Small EMP Smartbomb II",2340,11694,334,"EM Pulse Generator",6
"Ship Scanner II",4680,35,18,Pyerite,258
"Ship Scanner II",4680,37,18,Isogen,6
"Ship Scanner II",4680,9840,1034,Transmitter,2
"Ship Scanner II",4680,9842,1034,"Miniature Electronics",3
"Ship Scanner II",4680,11399,18,Morphite,2
"Ship Scanner II",4680,11483,332,"R.A.M.- Electronics",2
"Ship Scanner II",4680,11539,334,"Nanoelectrical Microprocessor",5
"Rapid Light Missile Launcher II",4680,9848,1040,Robotics,2
"Rapid Light Missile Launcher II",4680,11399,18,Morphite,3
"Rapid Light Missile Launcher II",4680,11486,332,"R.A.M.- Weapon Tech",2
"Rapid Light Missile Launcher II",4680,11540,334,"Quantum Microprocessor",5
"Medium Capacitor Booster II",4680,9838,1034,Superconductors,12
"Medium Capacitor Booster II",4680,11399,18,Morphite,3
"Medium Capacitor Booster II",4680,11482,332,"R.A.M.- Energy Tech",2
"Medium Capacitor Booster II",4680,11539,334,"Nanoelectrical Microprocessor",5
"Medium Capacitor Booster II",4680,11554,334,"Tesseract Capacitor Unit",6
"Cap Recharger II",4680,9838,1034,Superconductors,5
"Cap Recharger II",4680,11399,18,Morphite,3
"Cap Recharger II",4680,11482,332,"R.A.M.- Energy Tech",2
"Cap Recharger II",4680,11539,334,"Nanoelectrical Microprocessor",2
"Cap Recharger II",4680,11554,334,"Tesseract Capacitor Unit",2
"Cargo Scanner II",4680,37,18,Isogen,7
"Cargo Scanner II",4680,9840,1034,Transmitter,2
"Cargo Scanner II",4680,9842,1034,"Miniature Electronics",3
"Cargo Scanner II",4680,11399,18,Morphite,2
"Cargo Scanner II",4680,11483,332,"R.A.M.- Electronics",2
"Cargo Scanner II",4680,11539,334,"Nanoelectrical Microprocessor",5
"Damage Control II",2340,38,18,Nocxium,4
"Damage Control II",2340,3689,1034,"Mechanical Parts",3
"Damage Control II",2340,3828,1034,"Construction Blocks",3
"Damage Control II",2340,11399,18,Morphite,2
"Damage Control II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Damage Control II",2340,11540,334,"Quantum Microprocessor",2
"Damage Control II",2340,11542,334,"Fernite Carbide Composite Armor Plate",2
"Damage Control II",2340,11553,334,"Oscillator Capacitor Unit",2
"Damage Control II",2340,11695,334,"Plasma Pulse Generator",2
"ECM Burst II",4680,9840,1034,Transmitter,6
"ECM Burst II",4680,9842,1034,"Miniature Electronics",7
"ECM Burst II",4680,11399,18,Morphite,6
"ECM Burst II",4680,11483,332,"R.A.M.- Electronics",2
"ECM Burst II",4680,11534,334,"Gravimetric Sensor Cluster",3
"ECM Burst II",4680,11535,334,"Magnetometric Sensor Cluster",3
"ECM Burst II",4680,11536,334,"Ladar Sensor Cluster",3
"ECM Burst II",4680,11537,334,"Radar Sensor Cluster",3
"ECM Burst II",4680,11541,334,"Photon Microprocessor",5
"Infiltrator II",3000,9834,1040,"Guidance Systems",2
"Infiltrator II",3000,9848,1040,Robotics,2
"Infiltrator II",3000,11399,18,Morphite,3
"Infiltrator II",3000,11481,332,"R.A.M.- Robotics",2
"Infiltrator II",3000,11689,334,"Laser Focusing Crystals",1
"Hammerhead II",3000,9834,1040,"Guidance Systems",2
"Hammerhead II",3000,9848,1040,Robotics,2
"Hammerhead II",3000,11399,18,Morphite,3
"Hammerhead II",3000,11481,332,"R.A.M.- Robotics",2
"Hammerhead II",3000,11688,334,"Particle Accelerator Unit",1
"Praetor II",4500,9834,1040,"Guidance Systems",4
"Praetor II",4500,9848,1040,Robotics,4
"Praetor II",4500,11399,18,Morphite,6
"Praetor II",4500,11481,332,"R.A.M.- Robotics",2
"Praetor II",4500,11689,334,"Laser Focusing Crystals",2
"Acolyte II",1500,9834,1040,"Guidance Systems",1
"Acolyte II",1500,9848,1040,Robotics,1
"Acolyte II",1500,11399,18,Morphite,2
"Acolyte II",1500,11481,332,"R.A.M.- Robotics",2
"Acolyte II",1500,11689,334,"Laser Focusing Crystals",1
"Adaptive Invulnerability Field II",4680,40,18,Megacyte,6
"Adaptive Invulnerability Field II",4680,9838,1034,Superconductors,15
"Adaptive Invulnerability Field II",4680,11399,18,Morphite,11
"Adaptive Invulnerability Field II",4680,11484,332,"R.A.M.- Shield Tech",2
"Adaptive Invulnerability Field II",4680,11555,334,"Deflection Shield Emitter",8
"Adaptive Invulnerability Field II",4680,11556,334,"Pulse Shield Emitter",8
"Adaptive Invulnerability Field II",4680,11557,334,"Linear Shield Emitter",8
"Adaptive Invulnerability Field II",4680,11558,334,"Sustained Shield Emitter",8
"Explosive Deflection Field II",4680,38,18,Nocxium,3
"Explosive Deflection Field II",4680,40,18,Megacyte,3
"Explosive Deflection Field II",4680,9838,1034,Superconductors,9
"Explosive Deflection Field II",4680,11399,18,Morphite,8
"Explosive Deflection Field II",4680,11484,332,"R.A.M.- Shield Tech",2
"Explosive Deflection Field II",4680,11555,334,"Deflection Shield Emitter",24
"Kinetic Deflection Field II",4680,40,18,Megacyte,3
"Kinetic Deflection Field II",4680,9838,1034,Superconductors,9
"Kinetic Deflection Field II",4680,11399,18,Morphite,8
"Kinetic Deflection Field II",4680,11484,332,"R.A.M.- Shield Tech",2
"Kinetic Deflection Field II",4680,11558,334,"Sustained Shield Emitter",24
"EM Ward Field II",4680,40,18,Megacyte,3
"EM Ward Field II",4680,9838,1034,Superconductors,9
"EM Ward Field II",4680,11399,18,Morphite,8
"EM Ward Field II",4680,11484,332,"R.A.M.- Shield Tech",2
"EM Ward Field II",4680,11557,334,"Linear Shield Emitter",24
"Thermic Dissipation Field II",4680,40,18,Megacyte,3
"Thermic Dissipation Field II",4680,9838,1034,Superconductors,9
"Thermic Dissipation Field II",4680,11399,18,Morphite,8
"Thermic Dissipation Field II",4680,11484,332,"R.A.M.- Shield Tech",2
"Thermic Dissipation Field II",4680,11556,334,"Pulse Shield Emitter",24
"Survey Scanner II",4680,35,18,Pyerite,146
"Survey Scanner II",4680,9840,1034,Transmitter,2
"Survey Scanner II",4680,9842,1034,"Miniature Electronics",3
"Survey Scanner II",4680,11399,18,Morphite,2
"Survey Scanner II",4680,11483,332,"R.A.M.- Electronics",2
"Survey Scanner II",4680,11539,334,"Nanoelectrical Microprocessor",5
"Passive Targeter II",4680,35,18,Pyerite,200
"Passive Targeter II",4680,36,18,Mexallon,3
"Passive Targeter II",4680,37,18,Isogen,2
"Passive Targeter II",4680,38,18,Nocxium,2
"Passive Targeter II",4680,39,18,Zydrine,1
"Passive Targeter II",4680,9840,1034,Transmitter,6
"Passive Targeter II",4680,9842,1034,"Miniature Electronics",4
"Passive Targeter II",4680,11399,18,Morphite,2
"Passive Targeter II",4680,11483,332,"R.A.M.- Electronics",2
"Passive Targeter II",4680,11536,334,"Ladar Sensor Cluster",2
"Passive Targeter II",4680,11538,334,"Nanomechanical Microprocessor",5
"Small Hull Repairer II",2340,9848,1040,Robotics,2
"Small Hull Repairer II",2340,11399,18,Morphite,2
"Small Hull Repairer II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Small Hull Repairer II",2340,11538,334,"Nanomechanical Microprocessor",2
"Light Missile Launcher II",2340,9848,1040,Robotics,2
"Light Missile Launcher II",2340,11399,18,Morphite,3
"Light Missile Launcher II",2340,11486,332,"R.A.M.- Weapon Tech",2
"Light Missile Launcher II",2340,11540,334,"Quantum Microprocessor",6
"Heavy Missile Launcher II",4680,9848,1040,Robotics,4
"Heavy Missile Launcher II",4680,11399,18,Morphite,6
"Heavy Missile Launcher II",4680,11486,332,"R.A.M.- Weapon Tech",2
"Heavy Missile Launcher II",4680,11540,334,"Quantum Microprocessor",3
"Torpedo Launcher II",7020,9848,1040,Robotics,18
"Torpedo Launcher II",7020,11399,18,Morphite,24
"Torpedo Launcher II",7020,11486,332,"R.A.M.- Weapon Tech",2
"Torpedo Launcher II",7020,11540,334,"Quantum Microprocessor",24
"Wasp II",4500,9834,1040,"Guidance Systems",4
"Wasp II",4500,9848,1040,Robotics,4
"Wasp II",4500,11399,18,Morphite,6
"Wasp II",4500,11481,332,"R.A.M.- Robotics",2
"Wasp II",4500,11690,334,"Superconductor Rails",2
"Ogre II",4500,9834,1040,"Guidance Systems",4
"Ogre II",4500,9848,1040,Robotics,4
"Ogre II",4500,11399,18,Morphite,6
"Ogre II",4500,11481,332,"R.A.M.- Robotics",2
"Ogre II",4500,11688,334,"Particle Accelerator Unit",2
"Hobgoblin II",1500,9834,1040,"Guidance Systems",1
"Hobgoblin II",1500,9848,1040,Robotics,1
"Hobgoblin II",1500,11399,18,Morphite,2
"Hobgoblin II",1500,11481,332,"R.A.M.- Robotics",2
"Hobgoblin II",1500,11688,334,"Particle Accelerator Unit",1
"Hornet II",1500,9834,1040,"Guidance Systems",1
"Hornet II",1500,9848,1040,Robotics,1
"Hornet II",1500,11399,18,Morphite,2
"Hornet II",1500,11481,332,"R.A.M.- Robotics",2
"Hornet II",1500,11690,334,"Superconductor Rails",1
"Berserker II",4500,9834,1040,"Guidance Systems",4
"Berserker II",4500,9848,1040,Robotics,4
"Berserker II",4500,11399,18,Morphite,6
"Berserker II",4500,11481,332,"R.A.M.- Robotics",2
"Berserker II",4500,11691,334,"Thermonuclear Trigger Unit",2
"Warrior II",1500,9834,1040,"Guidance Systems",1
"Warrior II",1500,9848,1040,Robotics,1
"Warrior II",1500,11399,18,Morphite,2
"Warrior II",1500,11481,332,"R.A.M.- Robotics",2
"Warrior II",1500,11691,334,"Thermonuclear Trigger Unit",1
"Explosive Deflection Amplifier II",4680,37,18,Isogen,11
"Explosive Deflection Amplifier II",4680,9838,1034,Superconductors,6
"Explosive Deflection Amplifier II",4680,11399,18,Morphite,5
"Explosive Deflection Amplifier II",4680,11484,332,"R.A.M.- Shield Tech",2
"Explosive Deflection Amplifier II",4680,11555,334,"Deflection Shield Emitter",8
"Thermic Dissipation Amplifier II",4680,37,18,Isogen,11
"Thermic Dissipation Amplifier II",4680,9838,1034,Superconductors,6
"Thermic Dissipation Amplifier II",4680,11399,18,Morphite,5
"Thermic Dissipation Amplifier II",4680,11484,332,"R.A.M.- Shield Tech",2
"Thermic Dissipation Amplifier II",4680,11556,334,"Pulse Shield Emitter",8
"Kinetic Deflection Amplifier II",4680,37,18,Isogen,11
"Kinetic Deflection Amplifier II",4680,9838,1034,Superconductors,6
"Kinetic Deflection Amplifier II",4680,11399,18,Morphite,5
"Kinetic Deflection Amplifier II",4680,11484,332,"R.A.M.- Shield Tech",2
"Kinetic Deflection Amplifier II",4680,11557,334,"Linear Shield Emitter",8
"EM Ward Amplifier II",4680,37,18,Isogen,11
"EM Ward Amplifier II",4680,9838,1034,Superconductors,6
"EM Ward Amplifier II",4680,11399,18,Morphite,5
"EM Ward Amplifier II",4680,11484,332,"R.A.M.- Shield Tech",2
"EM Ward Amplifier II",4680,11558,334,"Sustained Shield Emitter",8
"Nanofiber Internal Structure II",2340,3828,1034,"Construction Blocks",8
"Nanofiber Internal Structure II",2340,11399,18,Morphite,2
"Nanofiber Internal Structure II",2340,11475,332,"R.A.M.- Armor/Hull Tech",2
"Mjolnir Fury Light Missile",4800,34,18,Tritanium,3324
"Mjolnir Fury Light Missile",4800,36,18,Mexallon,22
"Mjolnir Fury Light Missile",4800,37,18,Isogen,33
"Mjolnir Fury Light Missile",4800,40,18,Megacyte,4
"Mjolnir Fury Light Missile",4800,9830,1034,"Rocket Fuel",12
"Mjolnir Fury Light Missile",4800,11399,18,Morphite,2
"Mjolnir Fury Light Missile",4800,11476,332,"R.A.M.- Ammunition Tech",2
"Mjolnir Fury Light Missile",4800,11694,334,"EM Pulse Generator",3
"Mjolnir Fury Light Missile",4800,16680,429,"Phenolic Composites",12
"Inferno Fury Cruise Missile",14400,34,18,Tritanium,22311
"Inferno Fury Cruise Missile",14400,36,18,Mexallon,333
"Inferno Fury Cruise Missile",14400,38,18,Nocxium,78
"Inferno Fury Cruise Missile",14400,40,18,Megacyte,39
"Inferno Fury Cruise Missile",14400,9830,1034,"Rocket Fuel",129
"Inferno Fury Cruise Missile",14400,11399,18,Morphite,15
"Inferno Fury Cruise Missile",14400,11476,332,"R.A.M.- Ammunition Tech",2
"Inferno Fury Cruise Missile",14400,11695,334,"Plasma Pulse Generator",14
"Inferno Fury Cruise Missile",14400,16680,429,"Phenolic Composites",59
"Scourge Fury Heavy Missile",9600,34,18,Tritanium,11236
"Scourge Fury Heavy Missile",9600,38,18,Nocxium,24
"Scourge Fury Heavy Missile",9600,39,18,Zydrine,21
"Scourge Fury Heavy Missile",9600,40,18,Megacyte,33
"Scourge Fury Heavy Missile",9600,9830,1034,"Rocket Fuel",126
"Scourge Fury Heavy Missile",9600,11399,18,Morphite,8
"Scourge Fury Heavy Missile",9600,11476,332,"R.A.M.- Ammunition Tech",2
"Scourge Fury Heavy Missile",9600,11693,334,"Graviton Pulse Generator",14
"Scourge Fury Heavy Missile",9600,16680,429,"Phenolic Composites",18
"Inferno Precision Cruise Missile",14400,34,18,Tritanium,22311
"Inferno Precision Cruise Missile",14400,36,18,Mexallon,333
"Inferno Precision Cruise Missile",14400,38,18,Nocxium,78
"Inferno Precision Cruise Missile",14400,40,18,Megacyte,39
"Inferno Precision Cruise Missile",14400,9830,1034,"Rocket Fuel",129
"Inferno Precision Cruise Missile",14400,11399,18,Morphite,15
"Inferno Precision Cruise Missile",14400,11476,332,"R.A.M.- Ammunition Tech",2
"Inferno Precision Cruise Missile",14400,11695,334,"Plasma Pulse Generator",14
"Inferno Precision Cruise Missile",14400,16680,429,"Phenolic Composites",59
"Inferno Precision Light Missile",4800,34,18,Tritanium,3324
"Inferno Precision Light Missile",4800,36,18,Mexallon,22
"Inferno Precision Light Missile",4800,37,18,Isogen,33
"Inferno Precision Light Missile",4800,40,18,Megacyte,4
"Inferno Precision Light Missile",4800,9830,1034,"Rocket Fuel",12
"Inferno Precision Light Missile",4800,11399,18,Morphite,2
"Inferno Precision Light Missile",4800,11476,332,"R.A.M.- Ammunition Tech",2
"Inferno Precision Light Missile",4800,11695,334,"Plasma Pulse Generator",3
"Inferno Precision Light Missile",4800,16680,429,"Phenolic Composites",12
"Nova Precision Heavy Missile",9600,34,18,Tritanium,11236
"Nova Precision Heavy Missile",9600,38,18,Nocxium,24
"Nova Precision Heavy Missile",9600,39,18,Zydrine,21
"Nova Precision Heavy Missile",9600,40,18,Megacyte,33
"Nova Precision Heavy Missile",9600,9830,1034,"Rocket Fuel",126
"Nova Precision Heavy Missile",9600,11399,18,Morphite,8
"Nova Precision Heavy Missile",9600,11476,332,"R.A.M.- Ammunition Tech",2
"Nova Precision Heavy Missile",9600,11692,334,"Nuclear Pulse Generator",14
"Nova Precision Heavy Missile",9600,16680,429,"Phenolic Composites",18
"Scourge Rage Heavy Assault Missile",9600,34,18,Tritanium,3524
"Scourge Rage Heavy Assault Missile",9600,36,18,Mexallon,33
"Scourge Rage Heavy Assault Missile",9600,37,18,Isogen,13
"Scourge Rage Heavy Assault Missile",9600,39,18,Zydrine,1
"Scourge Rage Heavy Assault Missile",9600,40,18,Megacyte,8
"Scourge Rage Heavy Assault Missile",9600,9830,1034,"Rocket Fuel",12
"Scourge Rage Heavy Assault Missile",9600,11399,18,Morphite,2
"Scourge Rage Heavy Assault Missile",9600,11476,332,"R.A.M.- Ammunition Tech",2
"Scourge Rage Heavy Assault Missile",9600,11693,334,"Graviton Pulse Generator",3
"Scourge Rage Heavy Assault Missile",9600,16680,429,"Phenolic Composites",12
"Nova Javelin Torpedo",14400,34,18,Tritanium,32800
"Nova Javelin Torpedo",14400,36,18,Mexallon,556
"Nova Javelin Torpedo",14400,40,18,Megacyte,56
"Nova Javelin Torpedo",14400,9830,1034,"Rocket Fuel",437
"Nova Javelin Torpedo",14400,11399,18,Morphite,30
"Nova Javelin Torpedo",14400,11476,332,"R.A.M.- Ammunition Tech",2
"Nova Javelin Torpedo",14400,11692,334,"Nuclear Pulse Generator",30
"Nova Javelin Torpedo",14400,16680,429,"Phenolic Composites",132
"Inferno Rage Torpedo",14400,34,18,Tritanium,32800
"Inferno Rage Torpedo",14400,36,18,Mexallon,556
"Inferno Rage Torpedo",14400,40,18,Megacyte,56
"Inferno Rage Torpedo",14400,9830,1034,"Rocket Fuel",437
"Inferno Rage Torpedo",14400,11399,18,Morphite,30
"Inferno Rage Torpedo",14400,11476,332,"R.A.M.- Ammunition Tech",2
"Inferno Rage Torpedo",14400,11695,334,"Plasma Pulse Generator",30
"Inferno Rage Torpedo",14400,16680,429,"Phenolic Composites",132
"Mjolnir Rage Rocket",4800,34,18,Tritanium,2711
"Mjolnir Rage Rocket",4800,35,18,Pyerite,33
"Mjolnir Rage Rocket",4800,36,18,Mexallon,22
"Mjolnir Rage Rocket",4800,37,18,Isogen,11
"Mjolnir Rage Rocket",4800,40,18,Megacyte,1
"Mjolnir Rage Rocket",4800,9830,1034,"Rocket Fuel",8
"Mjolnir Rage Rocket",4800,11399,18,Morphite,2
"Mjolnir Rage Rocket",4800,11476,332,"R.A.M.- Ammunition Tech",2
"Mjolnir Rage Rocket",4800,11694,334,"EM Pulse Generator",2
"Mjolnir Rage Rocket",4800,16672,429,"Tungsten Carbide",45
"Mjolnir Rage Rocket",4800,16680,429,"Phenolic Composites",5
"1200mm Artillery Cannon II",7020,9848,1040,Robotics,10
"1200mm Artillery Cannon II",7020,11399,18,Morphite,36
"1200mm Artillery Cannon II",7020,11486,332,"R.A.M.- Weapon Tech",2
"1200mm Artillery Cannon II",7020,11691,334,"Thermonuclear Trigger Unit",26
"125mm Gatling AutoCannon II",7020,9848,1040,Robotics,1
