baseid,basename,basebpid,basebpname,t2id,t2name,t2bpid,t2bpname,baseProb5,T2_runs,old_copytime,old_inventtime,old_buildtime,old_prodmod,new_copytime,new_inventtime
1274,"Layered Plating I",1275,"Layered Plating I Blueprint",1276,"Layered Plating II",1277,"Layered Plating II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1284,"Kinetic Plating I",1285,"Kinetic Plating I Blueprint",1286,"Kinetic Plating II",1287,"Kinetic Plating II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1294,"Thermic Plating I",1295,"Thermic Plating I Blueprint",1296,"Thermic Plating II",1297,"Thermic Plating II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1304,"Adaptive Nano Plating I",1305,"Adaptive Nano Plating I Blueprint",1306,"Adaptive Nano Plating II",1307,"Adaptive Nano Plating II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1317,"Expanded Cargohold I",1318,"Expanded Cargohold I Blueprint",1319,"Expanded Cargohold II",1320,"Expanded Cargohold II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1333,"Reinforced Bulkheads I",1334,"Reinforced Bulkheads I Blueprint",1335,"Reinforced Bulkheads II",1336,"Reinforced Bulkheads II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
1353,"Reactor Control Unit I",1354,"Reactor Control Unit I Blueprint",1355,"Reactor Control Unit II",1356,"Reactor Control Unit II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
1403,"Inertia Stabilizers I",1404,"Inertia Stabilizers I Blueprint",1405,"Inertia Stabilizers II",1406,"Inertia Stabilizers II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
2331,"Shield Power Relay I",2332,"Shield Power Relay I Blueprint",1422,"Shield Power Relay II",1423,"Shield Power Relay II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
1182,"Auto Targeting System I",1208,"Auto Targeting System I Blueprint",1436,"Auto Targeting System II",1437,"Auto Targeting System II Blueprint",0.50400,10,9000.000000,9000,4500,900,2160,51000
1445,"Capacitor Power Relay I",1446,"Capacitor Power Relay I Blueprint",1447,"Capacitor Power Relay II",1448,"Capacitor Power Relay II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
1539,"Power Diagnostic System I",1540,"Power Diagnostic System I Blueprint",1541,"Power Diagnostic System II",1542,"Power Diagnostic System II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
1547,"Small Proton Smartbomb I",1548,"Small Proton Smartbomb I Blueprint",1549,"Small Proton Smartbomb II",1550,"Small Proton Smartbomb II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
1551,"Small Graviton Smartbomb I",1552,"Small Graviton Smartbomb I Blueprint",1553,"Small Graviton Smartbomb II",1554,"Small Graviton Smartbomb II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
1557,"Small Plasma Smartbomb I",1558,"Small Plasma Smartbomb I Blueprint",1559,"Small Plasma Smartbomb II",1560,"Small Plasma Smartbomb II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
1563,"Small EMP Smartbomb I",1564,"Small EMP Smartbomb I Blueprint",1565,"Small EMP Smartbomb II",1566,"Small EMP Smartbomb II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
443,"Ship Scanner I",1075,"Ship Scanner I Blueprint",1855,"Ship Scanner II",1856,"Ship Scanner II Blueprint",0.50400,10,9000.000000,9000,1000,200,1440,30900
1875,"Rapid Light Missile Launcher I",1876,"Rapid Light Missile Launcher I Blueprint",1877,"Rapid Light Missile Launcher II",1878,"Rapid Light Missile Launcher II Blueprint",0.50400,10,9000.000000,9000,3000,600,1440,30900
1973,"Sensor Booster I",11620,"Sensor Booster I Blueprint",1952,"Sensor Booster II",11808,"Sensor Booster II Blueprint",0.50400,10,9000.000000,9000,4500,900,1440,30900
1959,"ECCM Projector I",11770,"ECCM Projector I Blueprint",1960,"ECCM Projector II",11771,"ECCM Projector II Blueprint",0.50400,10,9000.000000,9000,10000,2000,1440,30900
1963,"Remote Sensor Booster I",11798,"Remote Sensor Booster I Blueprint",1964,"Remote Sensor Booster II",11799,"Remote Sensor Booster II Blueprint",0.50400,10,9000.000000,9000,4500,900,1440,30900
1968,"Remote Sensor Dampener I",11803,"Remote Sensor Dampener I Blueprint",1969,"Remote Sensor Dampener II",11804,"Remote Sensor Dampener II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
1977,"Tracking Computer I",11621,"Tracking Computer I Blueprint",1978,"Tracking Computer II",11840,"Tracking Computer II Blueprint",0.50400,10,9000.000000,9000,7000,1400,1440,30900
1986,"Signal Amplifier I",11634,"Signal Amplifier I Blueprint",1987,"Signal Amplifier II",11812,"Signal Amplifier II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
1998,"Tracking Enhancer I",11616,"Tracking Enhancer I Blueprint",1999,"Tracking Enhancer II",11848,"Tracking Enhancer II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
577,"Medium Capacitor Booster I",1128,"Medium Capacitor Booster I Blueprint",2024,"Medium Capacitor Booster II",2025,"Medium Capacitor Booster II Blueprint",0.50400,10,9000.000000,9000,5000,1000,1440,30900
1195,"Cap Recharger I",1196,"Cap Recharger I Blueprint",2032,"Cap Recharger II",2033,"Cap Recharger II Blueprint",0.50400,10,9000.000000,9000,4000,800,1440,30900
442,"Cargo Scanner I",1074,"Cargo Scanner I Blueprint",2038,"Cargo Scanner II",2039,"Cargo Scanner II Blueprint",0.50400,10,9000.000000,9000,1000,200,1440,30900
2046,"Damage Control I",2047,"Damage Control I Blueprint",2048,"Damage Control II",2049,"Damage Control II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
2103,"Remote Tracking Computer I",11617,"Remote Tracking Computer I Blueprint",2104,"Remote Tracking Computer II",11851,"Remote Tracking Computer II Blueprint",0.50400,10,9000.000000,9000,5000,1000,1440,30900
2108,"Tracking Disruptor I",11614,"Tracking Disruptor I Blueprint",2109,"Tracking Disruptor II",11844,"Tracking Disruptor II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
580,"ECM Burst I",1210,"ECM Burst I Blueprint",2117,"ECM Burst II",2118,"ECM Burst II Blueprint",0.50400,10,9000.000000,9000,6000,1200,1440,30900
2173,"Infiltrator I",2174,"Infiltrator I Blueprint",2175,"Infiltrator II",2176,"Infiltrator II Blueprint",0.50400,10,7200.000000,7200,2000,400,480,15900
2183,"Hammerhead I",2184,"Hammerhead I Blueprint",2185,"Hammerhead II",2186,"Hammerhead II Blueprint",0.50400,10,7200.000000,7200,2000,400,480,15900
2193,"Praetor I",2194,"Praetor I Blueprint",2195,"Praetor II",2196,"Praetor II Blueprint",0.50400,10,7200.000000,7200,3000,600,720,23700
2203,"Acolyte I",2204,"Acolyte I Blueprint",2205,"Acolyte II",2206,"Acolyte II Blueprint",0.50400,1,7200.000000,7200,1000,200,240,600
2005,"ECCM - Omni I",11626,"ECCM - Omni I Blueprint",2258,"ECCM - Omni II",11762,"ECCM - Omni II Blueprint",0.50400,10,9000.000000,9000,7000,1400,1440,30900
2004,"ECCM - Gravimetric I",11622,"ECCM - Gravimetric I Blueprint",2259,"ECCM - Gravimetric II",11750,"ECCM - Gravimetric II Blueprint",0.50400,10,9000.000000,9000,6000,1200,1440,30900
2002,"ECCM - Ladar I",11623,"ECCM - Ladar I Blueprint",2260,"ECCM - Ladar II",11754,"ECCM - Ladar II Blueprint",0.50400,10,9000.000000,9000,6000,1200,1440,30900
2003,"ECCM - Magnetometric I",11624,"ECCM - Magnetometric I Blueprint",2261,"ECCM - Magnetometric II",11758,"ECCM - Magnetometric II Blueprint",0.50400,10,9000.000000,9000,6000,1200,1440,30900
1947,"ECCM - Radar I",11625,"ECCM - Radar I Blueprint",2262,"ECCM - Radar II",11766,"ECCM - Radar II Blueprint",0.50400,10,9000.000000,9000,6000,1200,1440,30900
578,"Adaptive Invulnerability Field I",1129,"Adaptive Invulnerability Field I Blueprint",2281,"Adaptive Invulnerability Field II",2282,"Adaptive Invulnerability Field II Blueprint",0.50400,10,9000.000000,9000,12000,2400,1440,30900
2289,"Explosive Deflection Field I",2290,"Explosive Deflection Field I Blueprint",2297,"Explosive Deflection Field II",2298,"Explosive Deflection Field II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
2291,"Kinetic Deflection Field I",2292,"Kinetic Deflection Field I Blueprint",2299,"Kinetic Deflection Field II",2300,"Kinetic Deflection Field II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
2293,"EM Ward Field I",2294,"EM Ward Field I Blueprint",2301,"EM Ward Field II",2302,"EM Ward Field II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
2295,"Thermic Dissipation Field I",2296,"Thermic Dissipation Field I Blueprint",2303,"Thermic Dissipation Field II",2304,"Thermic Dissipation Field II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
444,"Survey Scanner I",1076,"Survey Scanner I Blueprint",2333,"Survey Scanner II",2334,"Survey Scanner II Blueprint",0.50400,10,9000.000000,9000,1000,200,1440,30900
581,"Passive Targeter I",1212,"Passive Targeter I Blueprint",2341,"Passive Targeter II",2342,"Passive Targeter II Blueprint",0.50400,10,9000.000000,9000,4000,800,1440,30900
524,"Small Hull Repairer I",1100,"Small Hull Repairer I Blueprint",2355,"Small Hull Repairer II",2356,"Small Hull Repairer II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
2363,"Heat Sink I",11612,"Heat Sink I Blueprint",2364,"Heat Sink II",11795,"Heat Sink II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
499,"Light Missile Launcher I",786,"Light Missile Launcher I Blueprint",2404,"Light Missile Launcher II",2405,"Light Missile Launcher II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
501,"Heavy Missile Launcher I",788,"Heavy Missile Launcher I Blueprint",2410,"Heavy Missile Launcher II",2411,"Heavy Missile Launcher II Blueprint",0.50400,10,9000.000000,9000,7000,1400,1440,30900
503,"Torpedo Launcher I",790,"Torpedo Launcher I Blueprint",2420,"Torpedo Launcher II",2421,"Torpedo Launcher II Blueprint",0.50400,10,9000.000000,9000,12000,2400,2160,51000
1201,"Wasp I",1214,"Wasp I Blueprint",2436,"Wasp II",2437,"Wasp II Blueprint",0.50400,10,7200.000000,7200,3000,600,720,23700
2444,"Ogre I",2445,"Ogre I Blueprint",2446,"Ogre II",2447,"Ogre II Blueprint",0.50400,10,7200.000000,7200,3000,600,720,23700
2454,"Hobgoblin I",2455,"Hobgoblin I Blueprint",2456,"Hobgoblin II",2457,"Hobgoblin II Blueprint",0.50400,1,7200.000000,7200,1000,200,240,600
2464,"Hornet I",2465,"Hornet I Blueprint",2466,"Hornet II",2467,"Hornet II Blueprint",0.50400,1,7200.000000,7200,1000,200,240,600
2476,"Berserker I",2477,"Berserker I Blueprint",2478,"Berserker II",2479,"Berserker II Blueprint",0.50400,10,7200.000000,7200,3000,600,720,23700
2486,"Warrior I",2487,"Warrior I Blueprint",2488,"Warrior II",2489,"Warrior II Blueprint",0.50400,1,7200.000000,7200,1000,200,240,600
2529,"Explosive Deflection Amplifier I",2530,"Explosive Deflection Amplifier I Blueprint",2531,"Explosive Deflection Amplifier II",2532,"Explosive Deflection Amplifier II Blueprint",0.50400,10,9000.000000,9000,5000,1000,1440,30900
2537,"Thermic Dissipation Amplifier I",2538,"Thermic Dissipation Amplifier I Blueprint",2539,"Thermic Dissipation Amplifier II",2540,"Thermic Dissipation Amplifier II Blueprint",0.50400,10,9000.000000,9000,5000,1000,1440,30900
2545,"Kinetic Deflection Amplifier I",2546,"Kinetic Deflection Amplifier I Blueprint",2547,"Kinetic Deflection Amplifier II",2548,"Kinetic Deflection Amplifier II Blueprint",0.50400,10,9000.000000,9000,5000,1000,1440,30900
1808,"EM Ward Amplifier I",1809,"EM Ward Amplifier I Blueprint",2553,"EM Ward Amplifier II",2554,"EM Ward Amplifier II Blueprint",0.50400,10,9000.000000,9000,5000,1000,1440,30900
1958,"ECM - Phase Inverter I",11630,"ECM - Phase Inverter I Blueprint",2559,"ECM - Phase Inverter II",11783,"ECM - Phase Inverter II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
1948,"ECM - Ion Field Projector I",11628,"ECM - Ion Field Projector I Blueprint",2563,"ECM - Ion Field Projector II",11775,"ECM - Ion Field Projector II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
1957,"ECM - Multispectral Jammer I",11629,"ECM - Multispectral Jammer I Blueprint",2567,"ECM - Multispectral Jammer II",11779,"ECM - Multispectral Jammer II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
1955,"ECM - Spatial Destabilizer I",11631,"ECM - Spatial Destabilizer I Blueprint",2571,"ECM - Spatial Destabilizer II",11787,"ECM - Spatial Destabilizer II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
1956,"ECM - White Noise Generator I",11632,"ECM - White Noise Generator I Blueprint",2575,"ECM - White Noise Generator II",11791,"ECM - White Noise Generator II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
2579,"Gravimetric Backup Array I",11820,"Gravimetric Backup Array I Blueprint",2580,"Gravimetric Backup Array II",11821,"Gravimetric Backup Array II Blueprint",0.50400,10,9000.000000,9000,2000,400,720,13800
2583,"LADAR Backup Array I",11824,"LADAR Backup Array I Blueprint",2584,"LADAR Backup Array II",11825,"LADAR Backup Array II Blueprint",0.50400,10,9000.000000,9000,2000,400,720,13800
2587,"Magnetometric Backup Array I",11828,"Magnetometric Backup Array I Blueprint",2588,"Magnetometric Backup Array II",11829,"Magnetometric Backup Array II Blueprint",0.50400,10,9000.000000,9000,2000,400,720,13800
2591,"Multi Sensor Backup Array I",11832,"Multi Sensor Backup Array I Blueprint",2592,"Multi Sensor Backup Array II",11833,"Multi Sensor Backup Array II Blueprint",0.50400,10,9000.000000,9000,2000,400,720,13800
2603,"Nanofiber Internal Structure I",2604,"Nanofiber Internal Structure I Blueprint",2605,"Nanofiber Internal Structure II",2606,"Nanofiber Internal Structure II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
212,"Mjolnir Light Missile",813,"Mjolnir Light Missile Blueprint",2613,"Mjolnir Fury Light Missile",2614,"Mjolnir Fury Light Missile Blueprint",0.50400,10000,4500.000000,4500,20000,4000,240,22800
204,"Inferno Cruise Missile",805,"Inferno Cruise Missile Blueprint",2621,"Inferno Fury Cruise Missile",2622,"Inferno Fury Cruise Missile Blueprint",0.50400,10000,4500.000000,4500,80000,16000,720,68100
209,"Scourge Heavy Missile",810,"Scourge Heavy Missile Blueprint",2629,"Scourge Fury Heavy Missile",2630,"Scourge Fury Heavy Missile Blueprint",0.50400,10000,4500.000000,4500,40000,8000,480,45600
204,"Inferno Cruise Missile",805,"Inferno Cruise Missile Blueprint",2637,"Inferno Precision Cruise Missile",2638,"Inferno Precision Cruise Missile Blueprint",0.50400,10000,4500.000000,4500,80000,16000,720,68100
211,"Inferno Light Missile",812,"Inferno Light Missile Blueprint",2647,"Inferno Precision Light Missile",2648,"Inferno Precision Light Missile Blueprint",0.50400,10000,4500.000000,4500,20000,4000,240,22800
206,"Nova Heavy Missile",807,"Nova Heavy Missile Blueprint",2655,"Nova Precision Heavy Missile",2656,"Nova Precision Heavy Missile Blueprint",0.50400,10000,4500.000000,4500,40000,8000,480,45600
20307,"Scourge Heavy Assault Missile",26762,"Scourge Heavy Assault Missile Blueprint",2679,"Scourge Rage Heavy Assault Missile",2680,"Scourge Rage Heavy Assault Missile Blueprint",0.50400,10000,4500.000000,4500,40000,8000,480,45600
2508,"Nova Torpedo",2509,"Nova Torpedo Blueprint",2801,"Nova Javelin Torpedo",2802,"Nova Javelin Torpedo Blueprint",0.50400,10000,4500.000000,4500,80000,16000,720,68100
2510,"Inferno Torpedo",2511,"Inferno Torpedo Blueprint",2811,"Inferno Rage Torpedo",2812,"Inferno Rage Torpedo Blueprint",0.50400,10000,4500.000000,4500,80000,16000,720,68100
2512,"Mjolnir Rocket",2513,"Mjolnir Rocket Blueprint",2817,"Mjolnir Rage Rocket",2818,"Mjolnir Rage Rocket Blueprint",0.50400,10000,4500.000000,4500,20000,4000,240,22800
497,"1200mm Artillery Cannon I",832,"1200mm Artillery Cannon I Blueprint",2865,"1200mm Artillery Cannon II",2866,"1200mm Artillery Cannon II Blueprint",0.50400,10,9000.000000,9000,16000,3200,2160,51000
484,"125mm Gatling AutoCannon I",819,"125mm Gatling AutoCannon I Blueprint",2873,"125mm Gatling AutoCannon II",2874,"125mm Gatling AutoCannon II Blueprint",0.50400,10,9000.000000,9000,2000,400,2160,51000
485,"150mm Light AutoCannon I",820,"150mm Light AutoCannon I Blueprint",2881,"150mm Light AutoCannon II",16032,"150mm Light AutoCannon II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
486,"200mm AutoCannon I",821,"200mm AutoCannon I Blueprint",2889,"200mm AutoCannon II",2890,"200mm AutoCannon II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
490,"220mm Vulcan AutoCannon I",825,"220mm Vulcan AutoCannon I Blueprint",2897,"220mm Vulcan AutoCannon II",2898,"220mm Vulcan AutoCannon II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
487,"250mm Light Artillery Cannon I",822,"250mm Light Artillery Cannon I Blueprint",2905,"250mm Light Artillery Cannon II",2906,"250mm Light Artillery Cannon II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
491,"425mm AutoCannon I",826,"425mm AutoCannon I Blueprint",2913,"425mm AutoCannon II",2914,"425mm AutoCannon II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
492,"650mm Artillery Cannon I",827,"650mm Artillery Cannon I Blueprint",2921,"650mm Artillery Cannon II",2922,"650mm Artillery Cannon II Blueprint",0.50400,10,9000.000000,9000,10000,2000,1440,30900
496,"800mm Repeating Cannon I",831,"800mm Repeating Cannon I Blueprint",2929,"800mm Repeating Cannon II",16029,"800mm Repeating Cannon II Blueprint",0.50400,10,9000.000000,9000,14000,2800,2160,51000
489,"Dual 180mm AutoCannon I",824,"Dual 180mm AutoCannon I Blueprint",2937,"Dual 180mm AutoCannon II",2938,"Dual 180mm AutoCannon II Blueprint",0.50400,10,9000.000000,9000,7000,1400,1440,30900
494,"Dual 425mm AutoCannon I",829,"Dual 425mm AutoCannon I Blueprint",2945,"Dual 425mm AutoCannon II",2946,"Dual 425mm AutoCannon II Blueprint",0.50400,10,9000.000000,9000,12000,2400,2160,51000
495,"Dual 650mm Repeating Cannon I",830,"Dual 650mm Repeating Cannon I Blueprint",2953,"Dual 650mm Repeating Cannon II",2954,"Dual 650mm Repeating Cannon II Blueprint",0.50400,10,9000.000000,9000,13000,2600,2160,51000
498,"1400mm Howitzer Artillery I",833,"1400mm Howitzer Artillery I Blueprint",2961,"1400mm Howitzer Artillery II",2962,"1400mm Howitzer Artillery II Blueprint",0.50400,10,9000.000000,9000,15000,3000,2160,51000
493,"720mm Howitzer Artillery I",828,"720mm Howitzer Artillery I Blueprint",2969,"720mm Howitzer Artillery II",2970,"720mm Howitzer Artillery II Blueprint",0.50400,10,9000.000000,9000,11000,2200,1440,30900
488,"280mm Howitzer Artillery I",823,"280mm Howitzer Artillery I Blueprint",2977,"280mm Howitzer Artillery II",2978,"280mm Howitzer Artillery II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
461,"Dual Heavy Beam Laser I",845,"Dual Heavy Beam Laser I Blueprint",2985,"Dual Heavy Beam Laser II",2986,"Dual Heavy Beam Laser II Blueprint",0.50400,10,9000.000000,9000,13000,2600,2160,51000
452,"Dual Light Beam Laser I",836,"Dual Light Beam Laser I Blueprint",2993,"Dual Light Beam Laser II",2994,"Dual Light Beam Laser II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
451,"Dual Light Pulse Laser I",835,"Dual Light Pulse Laser I Blueprint",3001,"Dual Light Pulse Laser II",3002,"Dual Light Pulse Laser II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
457,"Focused Medium Beam Laser I",841,"Focused Medium Beam Laser I Blueprint",3009,"Focused Medium Beam Laser II",3010,"Focused Medium Beam Laser II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
450,"Gatling Pulse Laser I",834,"Gatling Pulse Laser I Blueprint",3017,"Gatling Pulse Laser II",3018,"Gatling Pulse Laser II Blueprint",0.50400,10,9000.000000,9000,2000,400,720,13800
459,"Heavy Beam Laser I",843,"Heavy Beam Laser I Blueprint",3025,"Heavy Beam Laser II",3026,"Heavy Beam Laser II Blueprint",0.50400,10,9000.000000,9000,11000,2200,1440,30900
454,"Small Focused Beam Laser I",838,"Small Focused Beam Laser I Blueprint",3033,"Small Focused Beam Laser II",3034,"Small Focused Beam Laser II Blueprint",0.50400,10,9000.000000,9000,6000,1200,720,13800
453,"Small Focused Pulse Laser I",837,"Small Focused Pulse Laser I Blueprint",3041,"Small Focused Pulse Laser II",3042,"Small Focused Pulse Laser II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
463,"Mega Beam Laser I",847,"Mega Beam Laser I Blueprint",3049,"Mega Beam Laser II",3050,"Mega Beam Laser II Blueprint",0.50400,10,9000.000000,9000,15000,3000,2160,51000
462,"Mega Pulse Laser I",846,"Mega Pulse Laser I Blueprint",3057,"Mega Pulse Laser II",3058,"Mega Pulse Laser II Blueprint",0.50400,10,9000.000000,9000,14000,2800,2160,51000
464,"Tachyon Beam Laser I",848,"Tachyon Beam Laser I Blueprint",3065,"Tachyon Beam Laser II",3066,"Tachyon Beam Laser II Blueprint",0.50400,10,9000.000000,9000,16000,3200,2160,51000
565,"150mm Railgun I",1116,"150mm Railgun I Blueprint",3074,"150mm Railgun II",3075,"150mm Railgun II Blueprint",0.50400,10,9000.000000,9000,7000,1400,720,13800
570,"250mm Railgun I",1121,"250mm Railgun I Blueprint",3082,"250mm Railgun II",3083,"250mm Railgun II Blueprint",0.50400,10,9000.000000,9000,11000,2200,1440,30900
574,"425mm Railgun I",1125,"425mm Railgun I Blueprint",3090,"425mm Railgun II",3091,"425mm Railgun II Blueprint",0.50400,10,9000.000000,9000,15000,3000,2160,51000
561,"75mm Gatling Rail I",1112,"75mm Gatling Rail I Blueprint",3098,"75mm Gatling Rail II",3099,"75mm Gatling Rail II Blueprint",0.50400,10,9000.000000,9000,2000,400,720,13800
567,"Dual 150mm Railgun I",1118,"Dual 150mm Railgun I Blueprint",3106,"Dual 150mm Railgun II",3107,"Dual 150mm Railgun II Blueprint",0.50400,10,9000.000000,9000,6000,1200,1440,30900
572,"Dual 250mm Railgun I",1123,"Dual 250mm Railgun I Blueprint",3114,"Dual 250mm Railgun II",3115,"Dual 250mm Railgun II Blueprint",0.50400,10,9000.000000,9000,13000,2600,2160,51000
571,"Electron Blaster Cannon I",1122,"Electron Blaster Cannon I Blueprint",3122,"Electron Blaster Cannon II",3123,"Electron Blaster Cannon II Blueprint",0.50400,10,9000.000000,9000,12000,2400,2160,51000
566,"Heavy Electron Blaster I",1117,"Heavy Electron Blaster I Blueprint",3130,"Heavy Electron Blaster II",3131,"Heavy Electron Blaster II Blueprint",0.50400,10,9000.000000,9000,8000,1600,1440,30900
569,"Heavy Ion Blaster I",1120,"Heavy Ion Blaster I Blueprint",3138,"Heavy Ion Blaster II",3139,"Heavy Ion Blaster II Blueprint",0.50400,10,9000.000000,9000,9000,1800,1440,30900
568,"Heavy Neutron Blaster I",1119,"Heavy Neutron Blaster I Blueprint",3146,"Heavy Neutron Blaster II",3147,"Heavy Neutron Blaster II Blueprint",0.50400,10,9000.000000,9000,10000,2000,1440,30900
575,"Ion Blaster Cannon I",1126,"Ion Blaster Cannon I Blueprint",3154,"Ion Blaster Cannon II",3155,"Ion Blaster Cannon II Blueprint",0.50400,10,9000.000000,9000,15000,3000,2160,51000
562,"Light Electron Blaster I",1113,"Light Electron Blaster I Blueprint",3162,"Light Electron Blaster II",3163,"Light Electron Blaster II Blueprint",0.50400,10,9000.000000,9000,3000,600,720,13800
563,"Light Ion Blaster I",1114,"Light Ion Blaster I Blueprint",3170,"Light Ion Blaster II",3171,"Light Ion Blaster II Blueprint",0.50400,10,9000.000000,9000,4000,800,720,13800
564,"Light Neutron Blaster I",1115,"Light Neutron Blaster I Blueprint",3178,"Light Neutron Blaster II",3179,"Light Neutron Blaster II Blueprint",0.50400,10,9000.000000,9000,5000,1000,720,13800
